,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,6,,,
,,,,,2,,,,,,,,,4,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,3,,,7,,,,,,,,,,,,,,
6,,,,,,4,7,,,,,1,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,7,,,,,,,,,,,,,,7,,,,,,,,,,,7,,6,,4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,,3,,,,,,,,,,,,,,,,,,
,5,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,
,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,3,5,,,,,,,,,,,,,6,,,,,,,,5,,,,,,
,,,,7,,,,,,,,,,,5,,,,,,,,,,,,,,,6,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,
,,,5,,,,,,,,,2,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,4,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,4,,,,,,,,,,,,,,,6,,,,,7,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
1,,1,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,
,,,7,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,
,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,2,,,,,3,,,,,,,,,,,,,5,,,,,,,,,,,
,,,,,,,,,,,,,,,,,7,,,5,5,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4,,,,,,,,,,,,,,,,,,,,,,,,6,
,,,,,,,5,,,,,,,,,,4,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,4,,,,,,,,
,,,,,,,,,,,,1,7,,,6,7,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,7,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,5,,,5,,3,,,,,,,,,,
,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,6
,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,5,
4,,,,,,,,6,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,7,,,,,,
,,3,,,,,,,,,,2,5,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,5,5,6,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,4,,,,,,,1,,,,7,,,,,,,,,,,6,
,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,5,,,4,
,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,
,,,,,,,,5,,,2,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,6,,,,,,,,,,,,,7,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,4,,,,,6,,,,,,,,,7,,,,,1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,4,,,,,6,,3,7
,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,6,,2,,,,,,,
