,,,,,,,,,,,,5,,,,,,,7,,3,,,,,,,,,,,,,,2,,,,,,,,,,,,,,6,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,7,,,,,,,,,,6,,,,,,,,,,3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,2,,,,,,,,,,1,,2,,,,,,,
,,,,,,,,,,,,,,,,,,,,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,7,,4,,,,,,,,,,,,,
,,,,,,,,,,,,,1,,,7,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
,,,,,,,,,,,,4,,,,,,,,,,,,,,5,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,6,,,,,,,,,,,,,,,4,,,,,,,,6,,,,,,,
,,,,,,3,,,,,,,,,,,,,,,,,,,5,,,,,,,,6,,,,,,,5,,,,,,,3,,,,,,,,,,,,,,,,
,,,,4,,,,2,,,,,,,,,,4,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,3,,,,,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7
,,,,,,,,,,,,,,,5,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,5,,
,,,,,,,,,,,,,,2,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,6,,,,,,,,,,1,,,,,,,,,3,,,,,,,,
,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,,,,,,,7,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,2,,,,,2,,,,,3,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
,,,4,,,,,4,6,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,
,,,,3,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,
,,,,,,,,,,,5,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,3,,,,6,
,,,2,,,,,,,,,,,2,,2,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2,,,,,,,,,,,7
,,7,2,,,,,,,,7,,,,,,,,5,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,6,,,,,,,,,,,,
,,5,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,6,,,,,,,,,,2,,,,,4,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,4,,5,6,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3,,,,,,,,,7,,,,6,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,5,,,7,,,,2,,,,,,,,,,,,,,,,,,
,,,,,,,,2,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,2,,7,,,,,,,,
,,5,,,,,3,,6,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,1,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,1,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,,,6,,5,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,3,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,4,
